productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC,extNumber,extRarity
623512,Lycanroc - 085/159,Lycanroc 085 159,https://tcgplayer-cdn.tcgplayer.com/product/623512_200w.jpg,3,24073,https://cpt.tcgcsv.com/gq_6,2025-03-17T18:09:16.27,0,,2.99,3.0,3.0,,,Reverse Holofoil,,085/159,Holo Rare
623513,Hop's Silicobra,Hops Silicobra,https://tcgplayer-cdn.tcgplayer.com/product/623513_200w.jpg,3,24073,https://cpt.tcgcsv.com/hq_6,2025-03-17T18:09:16.473,0,,0.49,0.5,0.54,,,Reverse Holofoil,,086/159,Common
623513,Hop's Silicobra,Hops Silicobra,https://tcgplayer-cdn.tcgplayer.com/product/623513_200w.jpg,3,24073,https://cpt.tcgcsv.com/hq_6,2025-03-17T18:09:16.473,0,,0.25,0.25,0.27,0.25,,Normal,,086/159,Common
623514,Hop's Sandaconda,Hops Sandaconda,https://tcgplayer-cdn.tcgplayer.com/product/623514_200w.jpg,3,24073,https://cpt.tcgcsv.com/jq_6,2025-03-17T18:09:16.79,0,,0.15,0.2,0.5,0.15,,Normal,,087/159,Uncommon
623514,Hop's Sandaconda,Hops Sandaconda,https://tcgplayer-cdn.tcgplayer.com/product/623514_200w.jpg,3,24073,https://cpt.tcgcsv.com/jq_6,2025-03-17T18:09:16.79,0,,0.3,0.32,0.33,,,Reverse Holofoil,,087/159,Uncommon
623515,Toedscool,Toedscool,https://tcgplayer-cdn.tcgplayer.com/product/623515_200w.jpg,3,24073,https://cpt.tcgcsv.com/kq_6,2025-03-17T18:09:17.237,0,,0.3,0.3,0.33,,,Reverse Holofoil,,088/159,Common
623515,Toedscool,Toedscool,https://tcgplayer-cdn.tcgplayer.com/product/623515_200w.jpg,3,24073,https://cpt.tcgcsv.com/kq_6,2025-03-17T18:09:17.237,0,,0.1,0.1,0.25,,,Normal,,088/159,Common
623516,Toedscruel,Toedscruel,https://tcgplayer-cdn.tcgplayer.com/product/623516_200w.jpg,3,24073,https://cpt.tcgcsv.com/lq_6,2025-03-17T18:09:17.66,0,,1.0,1.08,1.16,1.11,,Reverse Holofoil,,089/159,Uncommon
623516,Toedscruel,Toedscruel,https://tcgplayer-cdn.tcgplayer.com/product/623516_200w.jpg,3,24073,https://cpt.tcgcsv.com/lq_6,2025-03-17T18:09:17.66,0,,0.5,0.5,0.55,0.5,,Normal,,089/159,Uncommon
623517,Klawf,Klawf,https://tcgplayer-cdn.tcgplayer.com/product/623517_200w.jpg,3,24073,https://cpt.tcgcsv.com/mq_6,2025-03-17T18:09:18.017,0,,0.15,0.15,0.25,,,Normal,,090/159,Uncommon
623517,Klawf,Klawf,https://tcgplayer-cdn.tcgplayer.com/product/623517_200w.jpg,3,24073,https://cpt.tcgcsv.com/mq_6,2025-03-17T18:09:18.017,0,,0.5,0.53,0.55,,,Reverse Holofoil,,090/159,Uncommon
623518,Koffing,Koffing,https://tcgplayer-cdn.tcgplayer.com/product/623518_200w.jpg,3,24073,https://cpt.tcgcsv.com/nq_6,2025-03-17T18:09:18.28,0,,0.1,0.1,0.25,,,Normal,,091/159,Common
623518,Koffing,Koffing,https://tcgplayer-cdn.tcgplayer.com/product/623518_200w.jpg,3,24073,https://cpt.tcgcsv.com/nq_6,2025-03-17T18:09:18.28,0,,0.2,0.2,0.25,,,Reverse Holofoil,,091/159,Common
623519,Weezing,Weezing,https://tcgplayer-cdn.tcgplayer.com/product/623519_200w.jpg,3,24073,https://cpt.tcgcsv.com/pq_6,2025-03-17T18:09:18.483,0,,0.15,0.25,0.5,0.25,,Normal,,092/159,Uncommon
623519,Weezing,Weezing,https://tcgplayer-cdn.tcgplayer.com/product/623519_200w.jpg,3,24073,https://cpt.tcgcsv.com/pq_6,2025-03-17T18:09:18.483,0,,0.3,0.3,0.33,,,Reverse Holofoil,,092/159,Uncommon
623520,Paldean Wooper,Paldean Wooper,https://tcgplayer-cdn.tcgplayer.com/product/623520_200w.jpg,3,24073,https://cpt.tcgcsv.com/qq_6,2025-03-17T18:09:18.743,0,,0.25,0.25,0.25,0.26,,Normal,,093/159,Common
623520,Paldean Wooper,Paldean Wooper,https://tcgplayer-cdn.tcgplayer.com/product/623520_200w.jpg,3,24073,https://cpt.tcgcsv.com/qq_6,2025-03-17T18:09:18.743,0,,0.2,0.2,0.2,0.23,,Reverse Holofoil,,093/159,Common
623521,Paldean Clodsire ex,Paldean Clodsire ex,https://tcgplayer-cdn.tcgplayer.com/product/623521_200w.jpg,3,24073,https://cpt.tcgcsv.com/rq_6,2025-03-17T18:09:19.007,0,,3.5,3.99,5.8,3.9,,Holofoil,,094/159,Double Rare
623522,Tyranitar,Tyranitar,https://tcgplayer-cdn.tcgplayer.com/product/623522_200w.jpg,3,24073,https://cpt.tcgcsv.com/sq_6,2025-03-17T18:09:19.183,0,,2.25,2.43,2.44,2.15,,Holofoil,,095/159,Holo Rare
623522,Tyranitar,Tyranitar,https://tcgplayer-cdn.tcgplayer.com/product/623522_200w.jpg,3,24073,https://cpt.tcgcsv.com/sq_6,2025-03-17T18:09:19.183,0,,3.0,3.0,3.0,0.87,,Reverse Holofoil,,095/159,Holo Rare
623523,N's Purrloin,Ns Purrloin,https://tcgplayer-cdn.tcgplayer.com/product/623523_200w.jpg,3,24073,https://cpt.tcgcsv.com/tq_6,2025-03-17T18:09:19.393,0,,0.2,0.27,0.5,,,Reverse Holofoil,,096/159,Common
623523,N's Purrloin,Ns Purrloin,https://tcgplayer-cdn.tcgplayer.com/product/623523_200w.jpg,3,24073,https://cpt.tcgcsv.com/tq_6,2025-03-17T18:09:19.393,0,,0.1,0.1,0.25,0.2,,Normal,,096/159,Common
623524,N's Zorua,Ns Zorua,https://tcgplayer-cdn.tcgplayer.com/product/623524_200w.jpg,3,24073,https://cpt.tcgcsv.com/vq_6,2025-03-17T18:09:19.753,0,,2.35,2.35,2.35,1.9,,Reverse Holofoil,,097/159,Common
623525,N's Zoroark ex - 098/159,Ns Zoroark ex 098 159,https://tcgplayer-cdn.tcgplayer.com/product/623525_200w.jpg,3,24073,https://cpt.tcgcsv.com/wq_6,2025-03-17T18:09:19.977,0,,17.97,19.21,23.0,12.38,,Holofoil,,098/159,Double Rare
623526,Pangoro,Pangoro,https://tcgplayer-cdn.tcgplayer.com/product/623526_200w.jpg,3,24073,https://cpt.tcgcsv.com/xq_6,2025-03-17T18:09:20.133,0,,0.2,0.2,0.5,,,Normal,,099/159,Uncommon
623526,Pangoro,Pangoro,https://tcgplayer-cdn.tcgplayer.com/product/623526_200w.jpg,3,24073,https://cpt.tcgcsv.com/xq_6,2025-03-17T18:09:20.133,0,,0.61,0.61,0.61,,,Reverse Holofoil,,099/159,Uncommon
623527,Lokix,Lokix,https://tcgplayer-cdn.tcgplayer.com/product/623527_200w.jpg,3,24073,https://cpt.tcgcsv.com/zq_6,2025-03-17T18:09:20.42,0,,0.1,0.1,0.25,,,Normal,,100/159,Uncommon
623527,Lokix,Lokix,https://tcgplayer-cdn.tcgplayer.com/product/623527_200w.jpg,3,24073,https://cpt.tcgcsv.com/zq_6,2025-03-17T18:09:20.42,0,,0.61,0.61,0.61,,,Reverse Holofoil,,100/159,Uncommon
623528,Bombirdier,Bombirdier,https://tcgplayer-cdn.tcgplayer.com/product/623528_200w.jpg,3,24073,https://cpt.tcgcsv.com/Bq_6,2025-03-17T18:09:20.65,0,,0.2,0.2,0.25,,,Reverse Holofoil,,101/159,Common
623528,Bombirdier,Bombirdier,https://tcgplayer-cdn.tcgplayer.com/product/623528_200w.jpg,3,24073,https://cpt.tcgcsv.com/Bq_6,2025-03-17T18:09:20.65,0,,0.1,0.18,0.25,,,Normal,,101/159,Common
623529,Escavalier,Escavalier,https://tcgplayer-cdn.tcgplayer.com/product/623529_200w.jpg,3,24073,https://cpt.tcgcsv.com/Cq_6,2025-03-17T18:09:20.993,0,,0.13,0.13,0.25,0.13,,Normal,,102/159,Uncommon
623529,Escavalier,Escavalier,https://tcgplayer-cdn.tcgplayer.com/product/623529_200w.jpg,3,24073,https://cpt.tcgcsv.com/Cq_6,2025-03-17T18:09:20.993,0,,0.75,0.75,0.83,,,Reverse Holofoil,,102/159,Uncommon
623530,N's Klink,Ns Klink,https://tcgplayer-cdn.tcgplayer.com/product/623530_200w.jpg,3,24073,https://cpt.tcgcsv.com/Dq_6,2025-03-17T18:09:21.233,0,,0.1,0.18,0.25,0.1,,Normal,,103/159,Common
623530,N's Klink,Ns Klink,https://tcgplayer-cdn.tcgplayer.com/product/623530_200w.jpg,3,24073,https://cpt.tcgcsv.com/Dq_6,2025-03-17T18:09:21.233,0,,0.33,0.42,0.5,0.2,,Reverse Holofoil,,103/159,Common
623531,N's Klang,Ns Klang,https://tcgplayer-cdn.tcgplayer.com/product/623531_200w.jpg,3,24073,https://cpt.tcgcsv.com/Fq_6,2025-03-17T18:09:21.47,0,,0.25,0.26,0.27,0.25,,Normal,,104/159,Common
623531,N's Klang,Ns Klang,https://tcgplayer-cdn.tcgplayer.com/product/623531_200w.jpg,3,24073,https://cpt.tcgcsv.com/Fq_6,2025-03-17T18:09:21.47,0,,0.3,0.3,0.33,0.3,,Reverse Holofoil,,104/159,Common
